customer_id,call_count,conversation_ids
b47bc7cdbdc04134220a74170b61574e009f728c6db785ddc06a623d6a65c01d,2,4015236218-1968574961-3115095096-0825805307 2008491163-1968443889-2424804408-0825805307
dc559cf5e46d1310ab7926eb7df79bff8686c3020dd8fb59cbe97662f09243a6,2,1147226794-1972703729-3119890933-1773867395 1705304897-1969754609-2898706933-1773867395
c9ac3817412c18e054d5569694c11ea95131b8588d6b1c57311b3d56ac93ac5f,2,0860341691-1971130865-2389934570-2917985560 3213963304-1969230321-3063646528-3594676577
b6fa5993b525d842244ef388b2e26c4d14deebee03d99e6e470d023c30fd166c,2,2771082588-1972113905-2721748024-0825805307 4148685948-1971720689-2532346176-3594676577
612a63d07061d9f0500a323bcce77d45f59e99fb330f73f7d2e8ef13d4ac97ed,2,3665355931-1967591921-2489041397-1773867395 0845098322-1967657457-2178189632-3594676577
619077dac132cdc5313f059106e6ac1b5a08054d08280c80b87737d48a1a82d8,2,1192273377-1972376049-2995423552-3594676577 3411821180-1972572657-2675491317-1773867395
ab0d8475dd0d7d9674f2ddf6c1b399a54a3b8e6b0af4451cfdbb54c3aef7b94d,2,1781597607-1969820145-2221588981-1773867395 2954368727-1970082289-2816786933-1773867395
f6e707f47c16a2bb3cfca8d37d237c965934260f92f3df524dd844e9d0278d2f,2,3644542886-1960972785-2756215274-2917985560 3359513894-1970934257-2709176821-1773867395
d8d3dd7c923f69e4fc6a2bee46490a8f5e3a32823b0d3bb71f8211fa697fd112,2,3549867118-1971261937-2261484010-2917985560 2658497255-1971261937-2731182400-3594676577
868432265e87a53c533edb41f09bbc2709d1aa1a75418553aa12d1b3a0cb67d8,2,0052998863-1970082289-3018621418-2917985560 3568203759-1972638193-3060569144-0825805307
2552b35ac2598bb3e2ba6013b0785c06b690f007acbe0df7747f3388c0047fba,2,0855626109-1971720689-2214365504-3594676577 1508375906-1971720689-2634323000-0825805307
4b9d160f9605535fe78811c2ead462fab5e55018435adca9e4b179080a8e0c36,2,3469723931-1970213361-2615591413-1773867395 1150746766-1969558001-2750318912-3594676577
c066b921ea90f826ce7c2c98b006ac9dbdfd9a07d631ca2d8f6a14303117aa52,2,1048441747-1973555697-2794099768-0825805307 4047436294-1973424625-2183432512-3594676577
831e0041c4166a8eccefc24fa73a65b4a9ab8561c0472c5a83628b569efa7138,2,3348363815-1972638193-2804974058-2917985560 2509639700-1972769265-2836040000-3594676577
bd9f28358373e21dac4519fa525e275c287c34c3c621fbc600e3bf914ac80182,2,0793431654-1971851761-2706686453-1773867395 2069758896-1971786225-2826011114-2917985560
9a98756b9c6817e584aaf5d49f0b1344d4add7057ae5fe37f2eb8ad52e10344a,2,1204168244-1970803185-2862519352-0825805307 3154708224-1970803185-2899083754-2917985560
f70c3921b0efde84c90588198a822319275af8f8f7e5bb5750b2d69a9fbb6e25,2,1045675892-1967591921-3092351296-3594676577 3576078240-1970803185-2935849450-2917985560
